review_threshold,hold_threshold,approval_rate,review_rate,hold_rate,total_intervention_rate,risky_order_recall,intervention_precision,false_positive_count,false_negative_count,review_cost,hold_cost,missed_risk_cost,total_estimated_cost,feasibility_status,rejection_reason
0.01,0.38,0.0,0.92875,0.07125,1.0,1.0,0.16375,669,0,48981.232,8550.0,0.0,57531.232,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.39,0.0,0.935,0.065,1.0,1.0,0.16375,669,0,49231.232,7800.0,0.0,57031.232,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.4,0.0,0.945,0.055,1.0,1.0,0.16375,669,0,49947.555,6600.0,0.0,56547.555,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.41,0.0,0.95125,0.04875,1.0,1.0,0.16375,669,0,50373.995,5850.0,0.0,56223.995,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.42,0.0,0.95625,0.04375,1.0,1.0,0.16375,669,0,50774.944,5250.0,0.0,56024.944,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.43,0.0,0.96,0.04,1.0,1.0,0.16375,669,0,50924.944,4800.0,0.0,55724.944,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.44,0.0,0.96,0.04,1.0,1.0,0.16375,669,0,50924.944,4800.0,0.0,55724.944,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.45,0.0,0.965,0.035,1.0,1.0,0.16375,669,0,51124.944,4200.0,0.0,55324.944,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.46,0.0,0.9675,0.0325,1.0,1.0,0.16375,669,0,51361.965,3900.0,0.0,55261.965,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.47,0.0,0.9725,0.0275,1.0,1.0,0.16375,669,0,52102.37,3300.0,0.0,55402.37,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.48,0.0,0.97375,0.02625,1.0,1.0,0.16375,669,0,52174.398,3150.0,0.0,55324.398,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.49,0.0,0.9775,0.0225,1.0,1.0,0.16375,669,0,52642.833,2700.0,0.0,55342.833,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.5,0.0,0.98,0.02,1.0,1.0,0.16375,669,0,52858.527,2400.0,0.0,55258.527,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.51,0.0,0.9825,0.0175,1.0,1.0,0.16375,669,0,53182.796,2100.0,0.0,55282.796,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.52,0.0,0.98625,0.01375,1.0,1.0,0.16375,669,0,53480.305,1650.0,0.0,55130.305,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.53,0.0,0.98625,0.01375,1.0,1.0,0.16375,669,0,53480.305,1650.0,0.0,55130.305,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.54,0.0,0.9875,0.0125,1.0,1.0,0.16375,669,0,53594.825,1500.0,0.0,55094.825,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.55,0.0,0.99,0.01,1.0,1.0,0.16375,669,0,53888.432,1200.0,0.0,55088.432,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.56,0.0,0.99125,0.00875,1.0,1.0,0.16375,669,0,53938.432,1050.0,0.0,54988.432,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.57,0.0,0.9925,0.0075,1.0,1.0,0.16375,669,0,54016.383,900.0,0.0,54916.383,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.58,0.0,0.99375,0.00625,1.0,1.0,0.16375,669,0,54066.383,750.0,0.0,54816.383,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.59,0.0,0.99375,0.00625,1.0,1.0,0.16375,669,0,54066.383,750.0,0.0,54816.383,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.6,0.0,0.995,0.005,1.0,1.0,0.16375,669,0,54198.373,600.0,0.0,54798.373,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.61,0.0,0.995,0.005,1.0,1.0,0.16375,669,0,54198.373,600.0,0.0,54798.373,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.62,0.0,0.995,0.005,1.0,1.0,0.16375,669,0,54198.373,600.0,0.0,54798.373,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.63,0.0,0.9975,0.0025,1.0,1.0,0.16375,669,0,54435.828,300.0,0.0,54735.828,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.64,0.0,0.99875,0.00125,1.0,1.0,0.16375,669,0,54558.445,150.0,0.0,54708.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.65,0.0,0.99875,0.00125,1.0,1.0,0.16375,669,0,54558.445,150.0,0.0,54708.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.66,0.0,0.99875,0.00125,1.0,1.0,0.16375,669,0,54558.445,150.0,0.0,54708.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.67,0.0,0.99875,0.00125,1.0,1.0,0.16375,669,0,54558.445,150.0,0.0,54708.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.68,0.0,0.99875,0.00125,1.0,1.0,0.16375,669,0,54558.445,150.0,0.0,54708.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.69,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.7,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.71,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.72,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.73,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.74,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.75,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.76,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.77,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.78,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.79,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.8,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.81,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.82,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.83,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.84,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.85,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.86,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.87,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.88,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.89,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.9,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.91,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.92,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.93,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.94,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.95,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.96,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.97,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.98,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.99,0.0,1.0,0.0,1.0,1.0,0.16375,669,0,54608.445,0.0,0.0,54608.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.03,0.00875,0.02625,0.965,0.99125,1.0,0.16519546027742749,662,0,1050.0,115800.0,0.0,116850.0,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.04,0.00875,0.065,0.92625,0.99125,1.0,0.16519546027742749,662,0,2638.315,111150.0,0.0,113788.315,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.05,0.00875,0.11,0.88125,0.99125,1.0,0.16519546027742749,662,0,4778.785,105750.0,0.0,110528.785,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.06,0.00875,0.15625,0.835,0.99125,1.0,0.16519546027742749,662,0,7324.747,100200.0,0.0,107524.747,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.07,0.00875,0.20875,0.7825,0.99125,1.0,0.16519546027742749,662,0,9563.712,93900.0,0.0,103463.712,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.08,0.00875,0.27125,0.72,0.99125,1.0,0.16519546027742749,662,0,12666.042000000001,86400.0,0.0,99066.042,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.09,0.00875,0.325,0.66625,0.99125,1.0,0.16519546027742749,662,0,15585.816,79950.0,0.0,95535.816,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.1,0.00875,0.395,0.59625,0.99125,1.0,0.16519546027742749,662,0,19562.21,71550.0,0.0,91112.20999999999,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.11,0.00875,0.45375,0.5375,0.99125,1.0,0.16519546027742749,662,0,22157.583,64500.0,0.0,86657.583,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.12,0.00875,0.51,0.48125,0.99125,1.0,0.16519546027742749,662,0,25392.066,57750.0,0.0,83142.06599999999,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.13,0.00875,0.55,0.44125,0.99125,1.0,0.16519546027742749,662,0,27128.746,52950.0,0.0,80078.746,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.14,0.00875,0.58375,0.4075,0.99125,1.0,0.16519546027742749,662,0,28740.225,48900.0,0.0,77640.225,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.15,0.00875,0.62375,0.3675,0.99125,1.0,0.16519546027742749,662,0,31039.436,44100.0,0.0,75139.436,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.16,0.00875,0.65375,0.3375,0.99125,1.0,0.16519546027742749,662,0,32793.909,40500.0,0.0,73293.909,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.17,0.00875,0.675,0.31625,0.99125,1.0,0.16519546027742749,662,0,34354.546,37950.0,0.0,72304.546,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.18,0.00875,0.6925,0.29875,0.99125,1.0,0.16519546027742749,662,0,35320.008,35850.0,0.0,71170.008,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.19,0.00875,0.71625,0.275,0.99125,1.0,0.16519546027742749,662,0,36358.845,33000.0,0.0,69358.845,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.2,0.00875,0.745,0.24625,0.99125,1.0,0.16519546027742749,662,0,37610.261,29550.0,0.0,67160.261,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.21,0.00875,0.765,0.22625,0.99125,1.0,0.16519546027742749,662,0,39249.145000000004,27150.0,0.0,66399.145,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.22,0.00875,0.7775,0.21375,0.99125,1.0,0.16519546027742749,662,0,40124.522,25650.0,0.0,65774.522,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.23,0.00875,0.78875,0.2025,0.99125,1.0,0.16519546027742749,662,0,40734.965,24300.0,0.0,65034.965,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.24,0.00875,0.8025,0.18875,0.99125,1.0,0.16519546027742749,662,0,41422.165,22650.0,0.0,64072.165,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.25,0.00875,0.81125,0.18,0.99125,1.0,0.16519546027742749,662,0,42009.225,21600.0,0.0,63609.225,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.26,0.00875,0.81625,0.175,0.99125,1.0,0.16519546027742749,662,0,42209.225,21000.0,0.0,63209.225,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.27,0.00875,0.825,0.16625,0.99125,1.0,0.16519546027742749,662,0,42635.322,19950.0,0.0,62585.322,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.28,0.00875,0.83125,0.16,0.99125,1.0,0.16519546027742749,662,0,42915.654,19200.0,0.0,62115.654,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.29,0.00875,0.8425,0.14875,0.99125,1.0,0.16519546027742749,662,0,43424.582,17850.0,0.0,61274.582,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.3,0.00875,0.85375,0.1375,0.99125,1.0,0.16519546027742749,662,0,44301.925,16500.0,0.0,60801.925,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.31,0.00875,0.8675,0.12375,0.99125,1.0,0.16519546027742749,662,0,45329.797,14850.0,0.0,60179.797,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.32,0.00875,0.88375,0.1075,0.99125,1.0,0.16519546027742749,662,0,46087.755,12900.0,0.0,58987.755,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.33,0.00875,0.89,0.10125,0.99125,1.0,0.16519546027742749,662,0,46362.402,12150.0,0.0,58512.402,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.34,0.00875,0.90125,0.09,0.99125,1.0,0.16519546027742749,662,0,47133.846000000005,10800.0,0.0,57933.846000000005,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.35,0.00875,0.905,0.08625,0.99125,1.0,0.16519546027742749,662,0,47333.73,10350.0,0.0,57683.73,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.36,0.00875,0.9125,0.07875,0.99125,1.0,0.16519546027742749,662,0,47814.037,9450.0,0.0,57264.037,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.37,0.00875,0.9175,0.07375,0.99125,1.0,0.16519546027742749,662,0,48531.232,8850.0,0.0,57381.232,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.38,0.00875,0.92,0.07125,0.99125,1.0,0.16519546027742749,662,0,48631.232,8550.0,0.0,57181.232,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.39,0.00875,0.92625,0.065,0.99125,1.0,0.16519546027742749,662,0,48881.232,7800.0,0.0,56681.232,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.4,0.00875,0.93625,0.055,0.99125,1.0,0.16519546027742749,662,0,49597.555,6600.0,0.0,56197.555,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.41,0.00875,0.9425,0.04875,0.99125,1.0,0.16519546027742749,662,0,50023.995,5850.0,0.0,55873.995,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.42,0.00875,0.9475,0.04375,0.99125,1.0,0.16519546027742749,662,0,50424.944,5250.0,0.0,55674.944,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.43,0.00875,0.95125,0.04,0.99125,1.0,0.16519546027742749,662,0,50574.944,4800.0,0.0,55374.944,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.44,0.00875,0.95125,0.04,0.99125,1.0,0.16519546027742749,662,0,50574.944,4800.0,0.0,55374.944,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.45,0.00875,0.95625,0.035,0.99125,1.0,0.16519546027742749,662,0,50774.944,4200.0,0.0,54974.944,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.46,0.00875,0.95875,0.0325,0.99125,1.0,0.16519546027742749,662,0,51011.965,3900.0,0.0,54911.965,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.47,0.00875,0.96375,0.0275,0.99125,1.0,0.16519546027742749,662,0,51752.37,3300.0,0.0,55052.37,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.48,0.00875,0.965,0.02625,0.99125,1.0,0.16519546027742749,662,0,51824.398,3150.0,0.0,54974.398,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.49,0.00875,0.96875,0.0225,0.99125,1.0,0.16519546027742749,662,0,52292.833,2700.0,0.0,54992.833,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.5,0.00875,0.97125,0.02,0.99125,1.0,0.16519546027742749,662,0,52508.527,2400.0,0.0,54908.527,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.51,0.00875,0.97375,0.0175,0.99125,1.0,0.16519546027742749,662,0,52832.796,2100.0,0.0,54932.796,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.52,0.00875,0.9775,0.01375,0.99125,1.0,0.16519546027742749,662,0,53130.305,1650.0,0.0,54780.305,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.53,0.00875,0.9775,0.01375,0.99125,1.0,0.16519546027742749,662,0,53130.305,1650.0,0.0,54780.305,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.54,0.00875,0.97875,0.0125,0.99125,1.0,0.16519546027742749,662,0,53244.825,1500.0,0.0,54744.825,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.55,0.00875,0.98125,0.01,0.99125,1.0,0.16519546027742749,662,0,53538.432,1200.0,0.0,54738.432,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.56,0.00875,0.9825,0.00875,0.99125,1.0,0.16519546027742749,662,0,53588.432,1050.0,0.0,54638.432,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.57,0.00875,0.98375,0.0075,0.99125,1.0,0.16519546027742749,662,0,53666.383,900.0,0.0,54566.383,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.58,0.00875,0.985,0.00625,0.99125,1.0,0.16519546027742749,662,0,53716.383,750.0,0.0,54466.383,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.59,0.00875,0.985,0.00625,0.99125,1.0,0.16519546027742749,662,0,53716.383,750.0,0.0,54466.383,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.6,0.00875,0.98625,0.005,0.99125,1.0,0.16519546027742749,662,0,53848.373,600.0,0.0,54448.373,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.61,0.00875,0.98625,0.005,0.99125,1.0,0.16519546027742749,662,0,53848.373,600.0,0.0,54448.373,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.62,0.00875,0.98625,0.005,0.99125,1.0,0.16519546027742749,662,0,53848.373,600.0,0.0,54448.373,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.63,0.00875,0.98875,0.0025,0.99125,1.0,0.16519546027742749,662,0,54085.828,300.0,0.0,54385.828,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.64,0.00875,0.99,0.00125,0.99125,1.0,0.16519546027742749,662,0,54208.445,150.0,0.0,54358.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.65,0.00875,0.99,0.00125,0.99125,1.0,0.16519546027742749,662,0,54208.445,150.0,0.0,54358.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.66,0.00875,0.99,0.00125,0.99125,1.0,0.16519546027742749,662,0,54208.445,150.0,0.0,54358.445,Infeasible,Violates MAX_INTERVENTION_RATE
0.02,0.67,0.00875,0.99,0.00125,0.99125,1.0,0.16519546027742749,662,0,54208.445,150.0,0.0,54358.445,Infeasible,Violates MAX_INTERVENTION_RATE
